publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C2,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C3,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C4,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C5,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,08 Theft,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C6,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C7,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,13 Public order offences,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C8,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_TRANSFER_TO_OTHER_COURT_LEVELS,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_TOTAL,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,15,observed,15,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R34C9,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Transfer to other court levels,Method of finalisation,2020–21,Total,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C2,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C3,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C4,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C5,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,08 Theft,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C6,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C7,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,13 Public order offences,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,TAS,CHILDRENS_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 45,R35C8,sha256:ff36f9ed81421cbbcffc2fb8d97a634d787285e6b333a9083d5a85d970a9d9b9,criminal-courts-australia,sha256:2018a0d3d3e149925a69ed604ae531fcd7bd701f845dd7c364d6fd5fb93a31b5,tidy.table-family-acceptance/v2,sha256:cb88835abf564ccb6fe8979fdac67c7e22839cebf51c83f7648e4ecd4ddfcde0,sha256:e15e8b42fd530905206be34fff5d536394626ef288aaff9249bb6fa9352244c6,sha256:857a25be87f881d9cc784b54f4728611fad4d680ede3c3b65f1a58b6e11f4a11,human-authored/deterministic-map-v1,replay:sha256:cd21880028a131384ed454a0b4daaec0cc8994ad816ed4eb21855c2c1eeb2c13,Withdrawn by prosecution,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22","Table 45 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Children's Courts – Tasmania, 2020–21 to 2021–22"
