publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_11_PROPERTY_DAMAGE,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,573,observed,573,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C12,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,11 Property damage,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_12_PUBLIC_ORDER_HEALTH_AND_SAFETY_OFFENCES,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,776,observed,776,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C13,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,"12 Public order, health, and safety offences","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_13_TRAFFIC_AND_VEHICLE_OFFENCES,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,3391,observed,3391,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C14,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,13 Traffic and vehicle offences,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_14_OFFENCES_AGAINST_JUSTICE_PROCEDURES_AND_ORDERS,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,1603,observed,1603,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C15,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,14 Offences against justice procedures and orders(b),"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_15_OFFENCES_AGAINST_GOVERNMENT,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,110,observed,110,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C16,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,15 Offences against government,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_16_ENVIRONMENTAL_OFFENCES,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,222,observed,222,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C17,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,16 Environmental offences,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_17_MISCELLANEOUS_OFFENCES,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,1254,observed,1254,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C18,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,17 Miscellaneous offences,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_WITHDRAWN_BY_PROSECUTION,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_TOTAL,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,16478,observed,16478,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R38C19,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Withdrawn by prosecution,Method of finalisation,2023–24,Total(c),"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_01_HOMICIDE,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,5,observed,5,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C2,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,01 Homicide(a),"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_02_ASSAULT,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,41,observed,41,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C3,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,02 Assault,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_03_SEXUAL_OFFENCES,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,84,observed,84,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C4,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,03 Sexual offences,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_04_HARM_OR_ENDANGER_PERSONS,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,29,observed,29,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C5,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,04 Harm or endanger persons,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_05_ROBBERY_BLACKMAIL_AND_EXTORTION,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,3,observed,3,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C6,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,"05 Robbery, blackmail, and extortion","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_06_BURGLARY,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,6,observed,6,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C7,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,06 Burglary,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_07_THEFT,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,12,observed,12,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C8,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,07 Theft,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
2025-06-30,2025-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2025-06-30,OFFENCE_08_FRAUD_AND_RELATED_OFFENCES,VIC,ALL_COURTS,ANZSOC_2023,defendant-count,person,11,observed,11,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 29,R9C9,sha256:91e8160c4fab3bf17268d8bc758e5e436646f182db80ce88aca7abaae1d22167,criminal-courts-australia,sha256:dcdc31e9eae7525c629e7a7e5c22c510a34088c1c279bfe9134f5abe0c95d338,tidy.table-family-acceptance/v1,sha256:c6f8341927da6e00acea62b1ece8574d4af9029c72b2dab3205d59b1153d8ad5,sha256:6804467584fc2afe9d3b80d0dc249343cebd300e856c00adfbeb4dd557332bcf,sha256:7bc4830e304c97608b0192261d8a6b5b8448e7e041ddcd1bd5e596f0b3c0e966,human-authored/deterministic-map-v1,replay:sha256:59a4889d80efa29cfdfcc27e40ef383f2f76c5e71f258a5dbb4e8de921456ea3,Acquitted,Method of finalisation,2024–25,08 Fraud and related offences,"Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25","Table 29 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – Victoria, 2023–24 to 2024–25"
