publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_02_ASSAULT,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,2497,observed,2497,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C3,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,02 Assault,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_03_SEXUAL_OFFENCES,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,456,observed,456,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C4,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,03 Sexual offences,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_04_HARM_OR_ENDANGER_PERSONS,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,159,observed,159,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C5,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,04 Harm or endanger persons,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_05_ROBBERY_BLACKMAIL_AND_EXTORTION,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,125,observed,125,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C6,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,"05 Robbery, blackmail, and extortion","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_06_BURGLARY,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,743,observed,743,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C7,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,06 Burglary,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_07_THEFT,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,1875,observed,1875,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C8,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,07 Theft,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_08_FRAUD_AND_RELATED_OFFENCES,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,262,observed,262,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C9,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,08 Fraud and related offences,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_09_DRUG_OFFENCES,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,1223,observed,1223,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C10,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,09 Drug offences,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_10_WEAPONS_AND_EXPLOSIVES_OFFENCES,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,1175,observed,1175,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C11,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,10 Weapons and explosives offences,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_11_PROPERTY_DAMAGE,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,723,observed,723,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C12,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,11 Property damage,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_12_PUBLIC_ORDER_HEALTH_AND_SAFETY_OFFENCES,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,993,observed,993,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C13,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,"12 Public order, health, and safety offences","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_13_TRAFFIC_AND_VEHICLE_OFFENCES,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,8428,observed,8428,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C14,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,13 Traffic and vehicle offences,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_14_OFFENCES_AGAINST_JUSTICE_PROCEDURES_AND_ORDERS,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,1658,observed,1658,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C15,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,14 Offences against justice procedures and orders(a),"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_15_OFFENCES_AGAINST_GOVERNMENT,SA,ALL_COURTS,ANZSOC_2023,defendant-count,person,86,observed,86,sha256:3850350142e81f1a2988c32cb3c1d224ce3ba847773c20228cff065c8f635ba2,Table 41,R31C16,sha256:4516197615cdc168be5ce78db901a2a9e2e3d575214ce757dd153a69543d01d4,criminal-courts-australia,sha256:b09fed0287d4524c504073fccddff27eaedb5b8c841cca92e1ad67ee15ce295a,tidy.table-family-acceptance/v1,sha256:8d6ca92a5c42e1df88565a8e67c304f60369b734b47a23d8f2b807e8cef4b0ba,sha256:c84cb737e11430fc747403f9080e421d71b4d65ad7967e8a9d37191d86a9250c,sha256:757273c0e162f6344ef389041f4ea88fd0134f2c3c900e17cbd4d51b5d41dd45,human-authored/deterministic-map-v1,replay:sha256:265fb41613ab51287f7957422e04f12f3e366b8a20d821766f7394b0754b1317,Adjudicated outcomes(c),Method of finalisation,2023–24,15 Offences against government,"Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25","Table 41 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25"
